Type,B,C
Density Pine Forest,55,70
Moderate Pie Forest,66,77
Density Sal Forest,55,70
Moderate Sal Forest,66,77
Grass Land,58,71
Agriculture,58,88
Fallow Land,86,91
Plantation,66,77
Settlement,85,90
Dry Riverbed,86,91
Water,100,100
